2880	8.70	7.32	16.04	2.21
3360	9.15	7.93	10.91	2.83
3840	11.81	8.38	13.90	3.10
4320	8.89	10.18	19.38	2.68
4800	9.33	8.25	17.96	2.48
5280	9.55	9.53	14.63	2.63
5760	9.34	10.21	16.97	2.78
6240	10.24	10.94	14.47	3.43
6720	8.82	8.56	18.30	3.07
7200	9.90	9.87	16.00	2.88
7680	8.73	9.80	19.72	2.78
8160	10.28	9.28	10.85	3.52
8640	11.16	9.18	15.34	3.38
9120	9.48	9.92	13.57	2.92
9600	10.84	11.21	14.00	3.54
10080	10.47	12.45	18.96	3.25
10560	10.17	11.43	22.30	2.84
11040	8.83	9.87	13.12	2.55
11520	8.38	8.38	12.03	2.55
12000	8.87	9.53	10.82	2.68
12480	7.89	8.83	10.21	2.46
12960	7.77	7.63	9.56	2.43
13440	7.43	7.86	10.79	2.34
13920	8.26	7.89	15.90	2.55
14400	8.69	8.45	12.58	2.44
14880	8.24	8.34	14.03	2.31
15360	9.25	9.71	14.24	2.94
15840	8.69	9.15	13.73	2.25
16320	8.02	8.79	15.81	2.36
16800	9.13	8.91	17.54	2.54
17280	8.46	8.79	25.16	2.43
17760	9.09	9.65	19.69	2.72
18240	9.51	8.73	19.38	2.80
18720	10.22	9.13	10.24	2.98
19200	11.20	10.43	12.86	3.37
19680	7.89	11.37	16.62	2.62
20160	11.16	8.87	18.03	3.34
20640	8.65	9.08	10.95	2.59
21120	10.53	9.09	15.03	3.29
21600	10.19	9.50	10.88	2.91
22080	10.78	11.56	21.32	3.18
22560	10.02	9.94	13.09	3.30
23040	10.00	9.55	11.39	2.86
23520	10.48	10.33	13.36	3.41
24000	11.15	12.44	10.95	3.32
24480	10.78	12.31	11.38	3.64
24960	11.58	10.92	14.55	3.76
25440	10.47	13.20	12.56	3.16
25920	9.66	10.06	10.53	3.07
26400	8.02	10.30	9.52	2.58
26880	10.43	9.40	8.89	2.88
27360	8.77	8.23	9.68	2.63
27840	7.20	8.67	7.51	1.98
28320	6.71	8.24	8.80	1.85
28800	8.36	7.39	8.89	2.49
29280	9.09	9.29	7.92	2.92
29760	11.64	10.67	10.37	3.24
