Time	CycleTime
240	0
480	0
720	0
960	0
1200	0
1439	0
1680	0
1920	0
2160	0
2400	0
2640	0
2880	0
3120	0
3360	0
3600	0
3840	0
4080	0
4320	0
4560	0
4800	1074
5040	1074
5280	1074
5520	1456.5
5760	1648.33333333333
6000	1513
6240	1601.14285714286
6480	1701.25
6720	1728.9
6960	1728.9
7200	1621.16666666667
7440	1631
7680	1552.61111111111
7920	1506.65
8160	1548.04545454545
8400	1564.96153846154
8640	1596.22222222222
8880	1596.22222222222
9120	1611.58620689655
9360	1641.72727272727
9600	1640.51351351351
9840	1658.58974358974
10080	1703.19047619048
10320	1723.09302325581
10560	1726.19565217391
10800	1701.54166666667
11040	1742.88679245283
11280	1809.0350877193
11520	1803.95081967213
11760	1833.53846153846
12000	1885.41428571429
12240	1894.26666666667
12480	1932.48192771084
12720	1974.93181818182
12960	2015.53608247423
13200	2068.69230769231
13440	2084.78504672897
13680	2094.18584070796
13920	2145.89166666667
14160	2157.54838709677
14400	2170.352
14640	2226.0534351145
14880	2218.15555555556
15119	2258.23021582734
15360	2258.80714285714
15600	2286.44137931034
15840	2305.06
16080	2331.63636363636
16320	2331.74683544304
16560	2336.27878787879
16800	2349.28915662651
17040	2360.21176470588
17280	2387.84393063584
17520	2409.30285714286
17760	2452.54054054054
18000	2451.55208333333
18240	2464.0824742268
18480	2472.55665024631
18720	2471.08612440191
18960	2471.50943396226
19200	2496.56561085973
19440	2502.45777777778
19680	2512.54625550661
19920	2495.64655172414
20160	2494.52916666667
20400	2503.9512195122
20640	2537.57874015748
20880	2529.73846153846
21120	2539.65789473684
21360	2553.44814814815
21600	2558.84057971014
21840	2559.97472924188
22080	2568.99644128114
22320	2578.51219512195
22560	2591.46735395189
22800	2587.71768707483
23040	2598.55183946488
23280	2605.20065789474
23520	2617.80456026059
23760	2637.45079365079
24000	2634.97784810127
24240	2637.96261682243
24480	2623.48307692308
24720	2628.03048780488
24960	2628.50750750751
25200	2619.31563421829
25440	2628.53935860058
25680	2629.40057636888
25920	2628.57507082153
26160	2622.78151260504
26400	2622.49166666667
26640	2623.94293478261
26880	2631.79144385027
27120	2626.88831168831
27360	2640.98974358974
27600	2639.3417721519
27840	2638.61940298507
28080	2633.50492610837
28320	2634.81818181818
28560	2637.16097560976
28800	2647.73684210526
29040	2644.74056603774
29280	2648.49295774648
29520	2647.22377622378
29760	2645.46436781609
30000	2651.8820861678
30240	2659.17488789238
30480	2662.30425055928
30719	2671.41241685144
30960	2683.96263736264
31200	2681.88815789474
31440	2683.25869565217
31680	2687.07296137339
31920	2702.49894291755
32159	2707.83817427386
32400	2707.81573498965
32640	2698.75869120654
32880	2697.19918699187
33120	2696.70850202429
33360	2698.77822580645
33600	2701.81726907631
33840	2695.58565737052
34080	2705.95652173913
34320	2706.54990215264
34560	2701.72815533981
34800	2699.3896353167
35040	2696.77083333333
35280	2700.85580524345
35520	2709.3537037037
35760	2713.77757352941
36000	2712.8996350365
36240	2707.60108303249
36480	2705.80610412926
36720	2704.2862254025
36960	2703.9610619469
37200	2711.0506993007
37440	2717.37413793103
37680	2722.85568760611
37920	2726.2797319933
38160	2721.5
38400	2719.87868852459
38640	2719.87868852459
38880	2717.04552845528
39120	2731.32102728732
39359	2735.6864
39600	2737.75516693164
39840	2739.49605055292
40080	2736.05485893417
40320	2738.46583850932
40560	2739.51692307692
40800	2742.71975497703
41040	2739.64848484848
41279	2749.31184407796
41520	2755.95259259259
41760	2755.70796460177
42000	2757.31678832117
42240	2755.54124457308
42480	2756.47782546495
42720	2757.17755681818
42960	2757.61134751773
43200	2760.43398876404
43440	2760.60195530726
43680	2759.93084370678
43920	2754.32098765432
44160	2755.4612244898
44400	2755.866756393
44640	2757.11363636364
44880	2757.79920212766
45120	2757.30860927152
45360	2761.77923784494
45600	2762.1409921671
45840	2762.24609375
46080	2761.52529182879
46320	2767.06306306306
46560	2765.38137755102
46800	2762.55233291299
47040	2761.95728643216
47280	2758.95880149813
47520	2761.3578553616
47760	2759.3975308642
48000	2757.27395577396
48240	2758.7487745098
48480	2755.90598290598
48720	2753.54556500608
48960	2753.46553808948
49200	2752.32048192771
49440	2752.04076738609
49680	2755.25178997613
49920	2751.08886255924
50160	2749.20828402367
50400	2747.20612485277
50640	2746.02461899179
50880	2749.48255813953
51120	2749.01967592593
51360	2750.70459770115
51600	2752.18202502844
51840	2748.47457627119
52080	2747.45146726862
52320	2747.45352743561
52560	2748.85666666667
52800	2743.83020948181
53040	2741.27083333333
53280	2743.04570184984
53520	2743.24403470716
53760	2752.44504310345
54000	2751.26587728741
54240	2752.52733118971
54480	2751.22459893048
54720	2750.90938166311
54960	2753.85683987275
55200	2749.53846153846
55440	2746.47962382445
55680	2744.48598130841
55920	2743.50929752066
56160	2746.65911431514
56400	2741.8202247191
56640	2748.28527918782
56880	2757.6696969697
57120	2757.40845070423
57360	2756.712
57600	2753.57669322709
57840	2748.55424063116
58080	2750.41944990177
58320	2751.14607843137
58560	2751.21616358325
58800	2753.15585672798
59040	2755.22007722008
59280	2757.94038461538
59520	2756.69740634006
59760	2754.51674641148
60000	2755.00095602294
60240	2754.0019047619
60480	2752.44749290445
60720	2749.83725305738
60960	2752.37242026266
61200	2753.23441860465
61440	2758.50648148148
61680	2757.84963099631
61920	2756.92909760589
62160	2759.04683195592
62400	2755.94327538884
62640	2761.67059891107
62880	2762.72317403066
63120	2762.18075539568
63360	2760.4679144385
63600	2760.75355871886
63839	2761.07187222715
64080	2761.18921308576
64320	2764.13468309859
64560	2765.74057843996
64800	2764.87074235808
65040	2764.09843205575
65280	2766.72309027778
65520	2766.92566983578
65760	2762.01633705933
66000	2761.80308219178
66240	2764.27877237852
66480	2766.67232597623
66720	2763.11233108108
66960	2762.6255247691
67200	2761.6013400335
67440	2762.22305764411
67680	2762.1240632806
67920	2765.37230514096
68160	2763.31626754748
68400	2762.31687242798
68640	2762.07371007371
68880	2761.51673469388
69120	2764.05930138099
69360	2761.03883495146
69600	2759.61835748792
69840	2756.39887640449
70080	2755.42467948718
70320	2750.23505976096
70560	2746.48060174188
70800	2747.08918705604
71040	2745.81411764706
71280	2744.71495693031
71520	2746.17211838006
71760	2744.39813374806
72000	2745.99690641918
72240	2746.15562403698
72480	2746.5752688172
72720	2745.88676358072
72960	2746.47139588101
73200	2746.6282245827
73440	2751.58049886621
73680	2752.57164404223
73920	2753.68018018018
74160	2757.84667165295
74400	2760.74552238806
74640	2758.93521965748
74880	2760.53743513714
75120	2761.75609756098
75360	2763.22385861561
75600	2763.12555066079
75840	2765.43672275055
76080	2766.91466083151
76319	2768.71718636693
76560	2770.44837545126
76800	2768.09942363112
77040	2768.44899425287
77280	2767.53972798855
77520	2767.50998573466
77759	2769.67471590909
78000	2768.93059490085
78240	2768.45621468927
78480	2769.7206192822
78720	2772.17882187938
78960	2769.65570328901
79200	2768.14275766017
79440	2768.81471200555
79680	2767.85526315789
79920	2766.9198341396
80160	2770.74570446735
80400	2769.97808219178
80640	2772.66598639456
80880	2773.41220338983
81120	2774.04993252362
81360	2773.34141414141
81600	2773.27284946237
81840	2772.18389261745
82080	2774.85905143621
82320	2774.38533333333
82560	2775.97345719973
82800	2777.21575115817
83040	2778.99209486166
83280	2778.37763157895
83520	2778.9579500657
83760	2776.7339869281
84000	2776.83866753756
84240	2776.15019505852
84480	2781.80622164614
84720	2782.86666666667
84960	2783.90574564235
85200	2780.62082262211
85440	2781.36230031949
85680	2782.8127388535
85920	2785.75636132316
86160	2786.13633481294
86400	2788.19747634069
86640	2788.97414880202
86880	2789.51101321586
87120	2790.05454545455
87360	2790.06066291432
87600	2786.95505617978
87840	2785.61901802362
88080	2785.97828784119
88320	2787.70413835701
88560	2787.21928746929
88800	2787.21928746929
89040	2789.85714285714
89280	2789.79865771812
89520	2789.94217894096
89760	2789.95449029126
90000	2789.26287098728
90240	2789.64957780458
90480	2791.95367027678
90720	2789.73333333333
90960	2790.76033553026
91200	2792.47434367542
91440	2792.46451997615
91680	2794.77784395474
91920	2793.47888161808
92160	2793.62767220903
92400	2793.62767220903
92640	2792.84578884935
92880	2797.10035419126
93120	2797.06301531213
93360	2795.60211267606
93600	2794.71353251318
93840	2794.99941554646
94080	2794.26864801865
94320	2792.41826643397
94560	2790.85473561883
94800	2791.87412993039
95040	2792.4514450867
95280	2790.81383285303
95520	2789.41863139735
95760	2786.65366972477
96000	2785.4176201373
96240	2788.90495162208
96480	2787.16581777023
96720	2787.25395927602
96960	2787.11914172784
97200	2786.25619369369
97440	2785.70039347948
97680	2786.29124579125
97920	2786.86961387801
98160	2785.70735785953
98400	2785.86484983315
98640	2787.07253599114
98880	2792.88956377692
99120	2792.99283351709
99360	2793.145684442
99600	2790.8144499179
99840	2790.46313489896
100079	2790.27901907357
100320	2791.10712343665
100560	2792.49945711184
100800	2793.17812669193
