Time	CycleTime	Idle	Open	Setup	Work	Lateness	OEE	New
90480	2234.924855	161.4326316	77	19.25	31.58	-1475.792486	39.48	0
90720	2234.327954	157.6095652	81	19.98	26.92	-1475.936023	33.65	9
90960	2235.079265	158.0185	75	19.65	26.81	-1477.779437	33.78	0
91200	2235.240252	142.1173913	81	19.62	32.48	-1478.248853	40.6	9
91440	2232.671812	142.4818182	76	19.94	27.29	-1477.586621	34.22	0
91680	2234.205362	142.513913	80	19.17	33.56	-1480.449515	42.11	8
91920	2233.08656	133.6815	77	18.92	31.65	-1479.873576	39.56	0
92160	2230.341463	141.4685714	79	19.92	32.58	-1478.916052	40.73	9
92400	2228.954751	143.8421739	74	19.65	28.69	-1478.161199	35.86	0
92640	2231.781162	121.4743478	78	20	27.83	-1482.299492	34.79	9
92880	2231.917555	136.4118182	68	20	29.17	-1481.663489	36.46	0
93120	2232.155568	130.1528571	71	20	22.5	-1481.913822	28.12	7
93360	2232.581473	134.1228571	66	20	24.85	-1482.512277	31.07	0
93600	2234.272525	137.4945455	70	19.6	27.08	-1483.258621	33.85	10
93840	2233.879645	137.6581818	65	19.75	26.83	-1481.881309	33.54	0
94080	2234.183934	136.803913	72	19.98	26.9	-1481.854294	33.72	9
94320	2234.154144	150.1495652	67	19.83	27.81	-1481.434807	34.77	0
94560	2234.784573	129.9435	76	19.52	31.08	-1481.153168	38.85	14
94800	2234.831776	159.9521739	72	19.75	31.65	-1482.412864	39.56	0
95040	2236.572444	139.49	69	19.85	32.65	-1485.776381	40.81	7
95280	2237.946536	134.02	65	19.62	28.6	-1486.881615	35.76	0
95520	2239.736156	134.4855	68	19.69	30.38	-1489.434311	37.99	12
95760	2239.935536	146.28	64	19.5	30.9	-1489.825569	38.62	0
96000	2239.543537	132.7525	69	19.69	29.79	-1489.611682	37.24	8
96240	2240.228571	135.792	63	20	25.65	-1489.30566	32.06	0
96480	2238.443908	132.8366667	63	19.19	29.44	-1488.485239	36.8	8
96720	2238.846277	131.2804348	59	19.67	29.94	-1487.571505	37.42	0
96960	2240.324425	134.2678261	62	19.94	30.67	-1489.096205	38.33	7
97200	2240.194237	128.8204545	59	19.71	29.33	-1488.798826	36.85	0
97440	2237.870075	117.6547619	61	19.79	29.75	-1487.588924	37.19	6
97680	2236.757302	115.3157143	56	19.9	28.42	-1487.501859	35.52	0
97920	2236.757302	113.3678947	64	19.85	26.12	-1487.501859	32.81	8
98160	2236.240191	119.6586364	61	19.75	23.81	-1487.382821	29.9	0
98400	2236.303911	127.7266667	62	20	19.04	-1487.809197	23.8	7
98640	2235.935092	132.4584211	59	19.75	18.21	-1487.842744	22.76	0
98880	2233.652128	131.6282609	57	20	17.73	-1487.203889	22.16	6
99120	2235.026219	142.739	53	20	15.88	-1488.225485	19.84	0
99360	2234.424908	135.4028571	57	20	20.77	-1488.199895	25.96	8
99600	2233.038642	148.2380952	53	19.98	21.29	-1487.841253	26.61	0
99840	2232.530453	152.5443478	66	19.25	30.54	-1488.680375	38.18	19
100080	2232.886293	147.8059091	61	19.81	29.6	-1489.742471	37.01	0
100320	2234.26294	126.8366667	62	19.75	35.35	-1491.228778	44.32	7
100560	2232.604027	142.1154545	57	19.65	32.98	-1490.77904	41.22	0
100800	2231.124742	130.9210526	61	19.12	35.4	-1489.640206	44.24	7
101040	2229.537037	157.0368182	57	19.79	27.88	-1488.695988	35.03	0
101280	2229.236775	133.1747619	61	20	24.81	-1489.593734	31.02	7
101520	2229.191184	141.2204545	57	20	26.06	-1490.434136	32.58	0
101760	2228.554303	119.2484211	67	20	28.56	-1490.129611	35.7	11
102000	2227.818182	149.242	61	20	28.52	-1490.36619	35.86	0
102240	2227.551478	155.267619	67	20	27.52	-1492.787971	34.51	10
102480	2226.619145	128.7261905	65	19.62	28.58	-1492.437373	35.73	0
102720	2226.519289	133.5009524	70	18.81	30.9	-1493.810152	38.62	11
102960	2225.392821	124.901	62	20	24.58	-1493.055106	30.73	0
103200	2226.699294	147.3352174	62	19.25	28.79	-1493.48335	35.99	4
103440	2226.424685	138.3713636	59	20	26.4	-1493.007557	32.99	0
103680	2224.81206	112.1055	58	20	25.1	-1492.662312	31.38	4
103920	2224.909137	137.7757143	56	19.81	25.08	-1493.590863	31.35	0
104160	2224.619048	134.068	61	19.88	22.44	-1493.543358	28.05	8
104400	2223.1955	130.5990909	56	19.88	23.1	-1492.89	28.88	0
104640	2222.884731	124.807619	58	20	19.21	-1492.693114	24.01	6
104880	2221.715139	158.9230435	54	20	20.98	-1492.005478	26.22	0
105120	2221.182587	126.185	67	19.9	29.35	-1491.662687	36.72	15
105360	2221.498012	138.1342857	65	18.92	31.06	-1491.644632	38.88	0
105600	2221.681548	154.3713636	69	19.92	32.6	-1492.249504	40.76	8
105839	2222.824431	131.5245	63	19.81	29.29	-1495.685955	36.61	0
106080	2224.189042	136.0013636	66	19.77	28.36	-1496.197927	35.45	7
106320	2223.572978	156.8095	64	20	26.08	-1495.95217	32.6	0
106560	2224.967536	147.0888889	66	19.83	28.46	-1498.691097	35.57	7
106800	2225.824424	166.6631818	60	19.98	23.62	-1500.571359	29.53	0
107040	2226.390985	142.1013043	71	19.48	31.02	-1501.747183	38.78	13
107280	2223.949707	137.6157895	64	20	27.77	-1502.074707	34.82	0
107520	2223.994639	138.8147826	71	19.65	30.08	-1503.475634	37.6	11
107760	2223.146401	135.2359091	67	19.79	25.04	-1503.1357	31.3	0
108000	2223.800292	148.383	76	18.81	34	-1503.755588	42.5	11
108240	2225.013586	149.4422727	73	19.9	29.96	-1504.622028	37.53	0
108480	2224.357177	134.2456522	73	19.38	28.19	-1505.357177	35.23	8
108720	2224.259402	140.8817391	68	19.79	29.58	-1505.15188	36.98	0
108960	2224.218645	131.0547826	67	20	25.77	-1506.543969	32.21	6
109199	2223.929051	145.3169565	62	19.83	26.3	-1506.892138	32.87	0
109440	2222.283732	131.5795652	67	19.73	30.95	-1505.811483	38.69	9
109680	2221.183206	122.12	61	19.9	26.21	-1504.998092	32.76	0
109920	2220.308935	114.7945455	57	19.81	25.29	-1504.402091	31.61	4
110160	2220.584718	133.9978261	54	19.35	22.29	-1503.952539	27.86	0
110400	2219.430602	116.195	55	20	20.54	-1502.68072	25.68	5
110640	2219.898345	129.2490909	51	19.9	18.69	-1501.792435	23.36	0
110880	2220.081209	121.7147826	60	19.98	29.42	-1501.27526	36.77	12
111120	2220.704802	155.4073913	54	20	26.48	-1501.690207	33.1	0
111360	2221.435355	134.9182609	59	19.9	31.73	-1502.231782	39.66	8
111600	2221.094322	147.2309091	55	20	24.79	-1503.110746	30.99	0
111840	2221.566073	144.6595455	63	19.31	32.62	-1503.210872	40.78	11
112080	2221.268224	164.376	57	20	27.38	-1503.628037	34.22	0
112320	2220.977135	167.8968182	69	19.56	33.23	-1503.70042	41.54	15
112560	2221.045666	151.4359091	66	19.54	32.83	-1504.88397	41.04	0
112800	2222.911245	153.8217391	70	18.62	37.21	-1506.861989	46.51	10
113040	2222.736647	160.0595652	69	19.48	36.98	-1507.121226	46.3	0
113280	2221.868738	149.8172727	82	17	43.4	-1507.064007	54.51	16
113520	2221.329161	171.3204545	81	17.71	45.19	-1507.041725	56.48	0
113760	2219.165587	159.9836842	86	19.06	39.71	-1506.520814	49.64	10
114000	2218.240775	181.165	80	19	36.33	-1507.367159	45.42	0
114240	2217.948482	173.1978261	87	19.88	33.23	-1506.964581	41.54	13
114480	2217.874081	156.1304348	85	19.02	36.44	-1506.793199	45.68	0
114720	2217.69005	142.8738095	86	19.12	35.46	-1508.452545	44.32	6
114960	2216.234783	151.0990909	82	18.94	31.25	-1507.218307	39.22	0
115200	2215.968095	156.6036364	78	17.85	29.25	-1506.345488	36.56	5
115439	2216.395634	160.6117391	85	20	24.87	-1505.283765	31.09	12
115680	2216.548094	136.6909091	80	19.71	26.33	-1506.820327	32.91	0
115920	2216.63587	158.7534783	86	20	28.04	-1508.038043	35.05	10
116160	2218.082204	143.163913	80	18.92	31.12	-1510.112466	38.91	0
116400	2217.376857	126.1836364	78	18.96	31.77	-1509.292661	39.84	5
116640	2219.615247	129.1682609	69	19.9	27.88	-1508.9	34.84	0
116880	2220.147335	149.6995652	76	19.79	27.29	-1508.574563	34.11	10
117120	2220.27932	132.3122727	75	19.1	31.08	-1508.641898	38.85	0
117360	2219.246985	165.3795833	84	19.69	29.02	-1508.648057	36.28	14
117600	2218.708686	140.4165217	78	19.19	38.4	-1508.955902	47.99	0
117840	2219.717835	152.745	79	19.44	37.44	-1508.644188	46.8	10
118080	2219.272687	138.3030435	74	19.62	36.92	-1507.883577	46.15	0
118320	2219.230022	154.3295833	77	19.04	33.5	-1506.783223	42.01	9
118560	2219.813574	146.7226087	73	19.38	35.35	-1508.430586	44.19	0
118800	2220.193137	146.7405	81	19.77	30.94	-1509.156181	38.67	12
119040	2220.324265	153.19	75	18.46	30.81	-1509.737604	38.52	0
119280	2219.465412	159.5672727	80	20	29.06	-1508.995622	36.33	10
119520	2220.005689	176.091	79	19.35	32.08	-1510.022757	40.1	0
119760	2219.466346	148.6704348	84	19.15	27.25	-1510.575612	34.17	8
120000	2220.89795	151.9309524	79	19.67	33.23	-1511.948539	41.54	0
120240	2220.061358	150.5709091	82	19.4	33.23	-1511.593124	41.54	8
120480	2221.00087	143.9961905	80	19.92	33	-1512.514348	41.25	0
120720	2221.558109	136.5413636	77	20	26.73	-1513.575889	33.41	3
120960	2220.533968	118.441	72	19.75	29.44	-1513.838165	36.8	0
121200	2221.675011	153.1565217	76	19.85	22.67	-1516.202417	28.33	10
121440	2222.086059	126.4685	69	19.98	23.29	-1516.325301	29.11	0
121680	2221.906707	145.0334783	80	19.85	27.19	-1516.129837	33.98	13
121920	2222.354783	135.4869565	75	20	26.65	-1515.772201	33.31	0
122160	2222.151243	131.6404762	82	19.67	30.1	-1516.076692	37.63	10
122400	2222.449765	145.3247619	77	18.96	32.77	-1516.097905	41.04	0
122640	2223.518345	151.9295652	81	20	28.27	-1516.763652	35.34	9
122880	2222.535349	124.3021053	77	19.94	30.92	-1516.358603	38.65	0
123120	2224.386837	153.5965217	81	20	27.81	-1517.165605	34.77	11
123360	2225.958086	154.3257895	74	19.62	34.29	-1520.395851	42.86	0
123600	2226.922654	154.9085714	78	19.6	33.15	-1521.597633	41.43	8
123840	2227.102532	142.3877273	74	19.29	30.42	-1522.057806	38.02	0
124080	2227.556866	173.2478261	78	19.69	25.77	-1523.26369	32.21	8
124320	2226.176965	146.7095833	73	20	24.98	-1523.35393	31.28	0
124560	2225.579874	157.8645455	77	19.33	29.81	-1524.600419	37.27	10
124800	2227.17524	138.8990476	71	19.94	32.08	-1526.120452	40.1	0
125040	2226.971572	164.7909091	81	19.12	30.85	-1526.103261	38.57	11
125280	2226.8775	148.203913	73	19.69	31.21	-1527.104583	39.01	0
125520	2226.807324	165.616087	79	19.48	32.65	-1527.081565	40.83	9
125760	2226.217283	137.1747826	75	19.5	30.67	-1526.794765	38.33	0
126000	2226.233416	152.5613043	81	18.42	37.92	-1527.014925	47.47	11
126240	2224.678793	147.2965217	74	19.1	36.83	-1526.362547	46.04	0
126480	2224.681387	134.9680952	77	19.25	32.06	-1526.592241	40.08	7
126720	2224.44385	136.5834783	69	19.92	30.75	-1526.716989	38.44	0
126960	2225.025072	136.7838095	74	19.77	27.23	-1526.262639	34.04	7
127200	2224.660377	114.7381818	69	19.81	28.12	-1525.553733	35.18	0
127440	2224.919295	120.8036364	76	20	21.96	-1525.292913	27.45	10
127680	2225.421977	147.8305	69	19.85	31.33	-1524.644199	39.17	0
127920	2225.075449	151.8555	77	19.81	27.06	-1524.08646	33.83	12
128160	2224.314611	140.4782609	72	20	29.17	-1523.463573	36.46	0
128400	2223.232114	144.8940909	78	20	25.96	-1522.518293	32.45	9
128640	2222.573225	153.7257143	73	18.77	34.98	-1521.212982	43.88	0
128880	2225.209632	150.0026087	79	19.92	29.35	-1522.696074	36.85	12
129120	2224.829633	149.257619	73	19.88	30.08	-1521.525636	37.6	0
129360	2226.524768	150.94125	80	19.69	30.31	-1521.770439	37.89	13
129600	2226.939211	150.7690909	79	19.4	36.65	-1521.901369	45.81	0
129840	2226.601606	146.9170833	85	18.48	34.92	-1521.880723	43.83	12
130080	2226.834336	141.7995455	82	18.56	39.81	-1522.938227	49.77	0
130320	2227.196314	149.3175	85	19.9	28.6	-1523.17508	35.91	6
130560	2227.5096	143.4209091	81	19.52	30.67	-1524.0712	38.33	0
130800	2226.677716	151.6875	87	20	28.98	-1524.027556	36.22	10
131039	2226.549582	133.0935	80	19.87	29.35	-1525.346077	36.69	0
131280	2227.463434	148.3486364	81	19.56	27.01	-1526.901431	33.77	6
131520	2226.716832	134.084	72	19.4	29.69	-1526.407525	37.16	0
131760	2227.082576	171.8895652	74	20	23.77	-1525.532991	29.71	8
132000	2227.385979	138.4490476	66	20	22.62	-1526.42497	28.39	0
132240	2226.867375	149.4080952	80	19.56	27.31	-1526.031877	34.14	16
132480	2227.920392	130.695	71	20	31.52	-1524.593333	39.53	0
132720	2228.798513	172.6204545	73	19.5	38.25	-1525.267214	47.89	8
132960	2231.25	143.5345833	65	20	31.54	-1524.858034	39.43	0
133200	2231.183126	142.14	66	19.31	38.44	-1524.195568	48.05	9
133440	2232.053592	154.3236364	63	19.5	33.42	-1524.165049	41.77	0
133680	2231.978295	133.1827273	70	19.08	32.88	-1523.216667	41.09	12
133920	2231.698179	134.9586364	69	18.48	38.85	-1522.968229	48.57	0
134160	2231.132302	146.1918182	81	19.4	32.96	-1522.507157	41.2	16
134400	2230.700657	155.1028571	77	19.73	36.62	-1522.032831	45.86	0
134640	2231.38233	169.6134783	78	19.85	31.58	-1522.633873	39.48	4
134880	2231.503661	155.9768182	75	19.65	34.06	-1523.039692	42.58	0
135120	2231.088564	158.3009091	83	19.79	32.67	-1522.597998	41.02	10
135360	2230.33218	138.2772727	79	19.62	29.52	-1522.358708	36.9	0
135600	2231.313628	145.8140909	86	19.19	32.94	-1523.596545	41.17	11
135840	2231.169414	164.4934783	82	18.5	38.98	-1524.203526	48.72	0
136080	2231.200688	141.9754545	87	18.67	35.31	-1524.329893	44.14	12
136320	2231.071347	140.5495238	82	19.58	37.69	-1524.25372	47.11	0
136560	2231.065524	170.59	92	18.73	38.23	-1524.451429	48.05	14
136800	2230.37381	170.416	90	18.04	40.23	-1524.136277	50.29	0
137040	2231.446429	177.9795455	93	18.4	39.69	-1524.308131	49.77	8
137280	2231.361153	146.6331818	89	19.06	36.79	-1524.194992	45.99	0
137520	2231.610439	160.1035	87	19.04	39.17	-1524.475794	48.96	6
137759	2231.428571	126.6665217	85	19.06	33.22	-1524.673847	41.71	0
138000	2231.854449	127.4417391	86	20	28.59	-1524.87368	35.74	7
138240	2232.170053	144.224	80	19.73	27.25	-1525.345749	34.06	0
138480	2233.648517	124.5655556	87	19.96	26.25	-1525.956065	32.81	12
138720	2232.577686	151.3440909	79	19.69	29.71	-1525.979408	37.14	0
138960	2233.045964	141.4266667	84	19.35	24.92	-1526.65994	31.15	10
139200	2232.137262	139.7533333	79	20	29.19	-1526.401343	36.48	0
139440	2231.563569	124.152381	78	19.79	26.17	-1526.273978	32.71	8
139680	2232.282061	141.0179167	70	19.9	31.6	-1527.411045	39.51	0
139920	2232.137829	138.9633333	79	19.77	24.33	-1527.46684	30.42	10
140160	2232.632729	130.6895455	77	20	27.67	-1527.679008	34.77	0
140400	2232.387944	125.5273913	80	19.85	28.25	-1527.718195	35.31	6
140640	2232.906677	128.4052381	73	20	28.88	-1528.909996	36.15	0
140880	2232.829161	139.5186364	75	19.85	21.88	-1529.226068	27.34	7
141119	2232.405138	115.3626316	66	20	23.35	-1531.167706	29.18	0
141360	2233.18052	147.6554545	65	20	20.58	-1531.940681	25.73	5
141600	2232.211833	129.7778261	58	20	21.27	-1531.096786	26.59	0
141840	2234.185725	143.8380952	60	19.77	18.1	-1532.176985	22.63	10
142080	2234.730447	127.5566667	57	19.69	23.85	-1532.365951	29.97	0
142320	2234.359375	146.2680952	65	19.83	23.29	-1532.136991	29.11	11
142560	2234.216099	153.2442857	59	19.06	28.56	-1531.474619	35.86	0
142800	2234.384365	151.1380952	67	19.62	26.06	-1530.992761	32.58	13
143040	2235.347308	142.8795238	63	19.21	34.35	-1531.151789	43.12	0
143280	2236.559004	148.613913	68	19.6	35.08	-1531.76651	43.96	9
143520	2236.227109	155.4552632	65	19.25	35.19	-1531.77217	43.98	0
143760	2236.418437	136.2272727	76	20	28.17	-1532.153043	35.21	14
144000	2236.846818	158.6204545	72	19.85	32.38	-1532.019777	40.47	0
144240	2237.316828	163.5022727	76	19.35	31.38	-1532.481163	39.22	10
144480	2236.916905	164.0472727	71	19.08	35.06	-1532.442335	43.83	0
144720	2236.75009	153.8395238	79	18.67	37.79	-1532.417472	47.32	9
144960	2235.721429	182.8322727	72	19.48	35.56	-1532.203929	44.45	0
145200	2235.411325	166.7936842	79	19	31.83	-1532.101496	39.79	15
145440	2235.010317	180.3395238	76	18.23	37.94	-1531.763074	47.42	0
145680	2234.076349	155.8595455	81	18.77	28.94	-1530.656605	36.17	10
145920	2233.951436	170.97	76	19.17	37.35	-1530.847926	47.11	0
146160	2235.830916	152.635	77	19.06	38.23	-1530.408914	47.84	7
146400	2235.516596	161.795	72	19.35	41.25	-1529.89654	51.8	0
146640	2235.780247	172.4130435	85	19.9	32.25	-1529.508642	40.44	16
146880	2235.604651	150.1582609	82	19.52	39.94	-1528.957364	50.08	0
147120	2235.357721	175.0313043	94	18.25	40.19	-1528.351389	50.23	17
147360	2235.387913	154.5065217	91	17.46	46.88	-1527.970836	58.59	0
147600	2234.613684	165.3833333	101	18.27	47.15	-1528.474035	58.96	14
147840	2234.675657	185.8333333	96	17.15	46.17	-1527.870403	57.71	0
148080	2234.978344	168.8842857	106	19.06	39.12	-1527.066364	48.91	18
148320	2234.907504	172.53	104	17.02	51.21	-1526.512391	64.14	0
148560	2235.085077	155.4047826	105	18.75	42.79	-1525.997559	53.59	4
148800	2236.118998	153.9309091	99	18.4	43.6	-1524.811761	54.53	0
149040	2237.089236	142.8315	104	19.79	31.92	-1523.920486	39.9	11
149279	2237.230716	147.9917391	93	18.54	42.01	-1522.28779	52.88	0
149520	2238.687716	144.6073913	92	19.17	33.55	-1520.914769	41.93	6
149760	2240.122849	148.0814286	84	18.92	32.38	-1521.248107	40.47	0
150000	2240.129763	141.3383333	86	19.44	30.35	-1519.999313	37.94	9
150240	2239.890336	138.3545833	81	19.38	31.5	-1518.6573	39.38	0
150480	2241.803828	147.5321739	81	18.25	33.75	-1517.12987	42.19	8
150720	2242.787445	140.8968182	76	19.58	30.29	-1516.869669	37.86	0
150960	2243.449932	129.4531579	79	19.83	21.31	-1516.495913	26.64	8
151200	2245.189878	139.7204762	71	19.79	27.85	-1516.143342	34.82	0
151440	2244.960678	168.014	76	19.65	24.67	-1515.033559	30.83	11
151680	2247.699324	133.5236364	66	20	24.52	-1514.507432	30.65	0
151920	2249.482468	138.0094737	67	20	25.65	-1515.107889	32.06	7
152160	2250.318519	170.4990909	63	19.5	29.94	-1514.820539	37.42	0
152400	2251.27236	143.8614286	70	19.83	23.96	-1514.9731	29.95	11
152640	2251.773858	132.7828571	68	19.94	31.62	-1514.795699	39.53	0
152880	2251.198591	133.4205263	73	19.56	28.4	-1514.245891	35.49	10
153120	2251.746149	161.265	68	19.96	31.17	-1513.986269	38.96	0
153360	2251.573195	139.41	75	19.56	27.62	-1513.670455	34.53	13
153600	2250.804007	126.4831579	72	20	30.17	-1513.231386	37.71	0
153840	2251.57	152.35	71	19.42	28.31	-1513.854333	35.39	4
154080	2252.935108	156.3643478	66	19.81	25.35	-1514.187022	31.69	0
154320	2252.424726	129.7308333	72	20	21.58	-1513.883682	26.98	10
154560	2251.958831	121.2136364	69	19.77	26.54	-1513.497012	33.18	0
154800	2251.527676	121.7891304	71	19.75	26.31	-1512.904209	32.89	7
155040	2251.135296	134.3666667	65	19.58	27.27	-1513.209725	34.09	0
155280	2250.508256	139.4675	68	19.85	22	-1512.759247	27.5	8
155520	2252.069852	140.243	61	19.38	32.9	-1513.182867	41.12	0
155760	2252.349802	161.4290476	74	19.79	25.92	-1513.577734	32.4	14
156000	2254.063096	150.8561905	67	19.6	34.42	-1513.925074	43.02	0
156240	2254.708142	151.1490909	76	19.83	28.02	-1514.696323	35.03	12
156480	2253.44055	144.1238095	69	18.08	41.67	-1513.716345	52.19	0
156720	2254.384238	162.3057143	70	18.46	35.15	-1513.51308	43.93	6
156960	2254.384389	161.4627273	66	19.46	35.21	-1514.804376	44.01	0
157200	2253.93968	153.1554167	78	19.12	31.38	-1514.56733	39.32	17
157440	2254.733745	168.69	69	19.38	31.73	-1514.35078	39.77	0
157680	2254.432749	165.4915	76	19.9	33.08	-1513.887264	41.41	9
157920	2254.442426	154.2990909	71	19.62	34.46	-1513.681479	43.2	0
158160	2254.254616	163.0059091	75	19.04	29.92	-1513.443473	37.66	8
158400	2253.54869	112.5236364	71	19.5	29.15	-1512.782271	36.43	0
158640	2252.91898	126.42	67	20	26.58	-1511.374435	33.23	3
158880	2253.046099	134.2430435	63	19.94	29.35	-1510.666667	36.69	0
159120	2252.811977	121.2722727	66	19.69	22.06	-1509.853187	27.58	7
159360	2251.850209	126.4143478	61	20	21.44	-1508.777242	26.98	0
159600	2252.077714	139.3991667	68	20	19.06	-1507.938343	23.83	10
159840	2253.252804	132.152	61	20	20.08	-1507.920538	25.1	0
160080	2254.55872	133.1220833	66	19.54	23.42	-1507.45472	29.27	9
160320	2253.401917	123.4795238	61	20	23.38	-1506.30607	29.22	0
160560	2253.662089	142.7890476	66	20	24.65	-1506.256787	30.81	6
160800	2253.070746	120.8054545	59	19.54	24.04	-1506.577757	30.05	0
161040	2252.140814	144.7718182	61	19.69	18.65	-1505.456135	23.31	10
161280	2252.017438	146.6790476	53	20	27.81	-1504.019023	35.03	0
161520	2254.3733	136.418	53	19.65	22	-1504.635875	27.5	7
161760	2254.795577	139.0734783	49	20	28.52	-1504.557346	35.86	0
162000	2254.604232	139.1991304	60	19.69	24.56	-1504.384397	30.7	12
162240	2254.968424	135.7071429	59	19.69	31.44	-1504.55952	39.3	0
162480	2255.504888	145.4878261	59	19.29	32.27	-1505.251971	40.34	4
162720	2255.778023	137.7613636	54	19.98	29.98	-1504.826826	37.47	0
162960	2256.080579	135.2459091	65	19.85	29.38	-1505.282657	36.72	12
163200	2256.42911	145.5230435	61	19.31	30.1	-1506.475951	37.63	0
163440	2256.195475	148.4630435	76	19.98	28	-1506.574167	35	16
163680	2255.55245	137.3531818	74	19.4	33.79	-1506.631281	42.32	0
163920	2254.688519	149.2142857	80	19.04	32.15	-1506.871393	40.18	10
164160	2254.63021	157.4117391	77	18.83	36.48	-1507.124726	45.6	0
164400	2254.014085	162.8078261	84	19.1	35.25	-1506.949922	44.06	11
164640	2253.527006	164.6391304	76	19.52	36.42	-1507.561037	45.52	0
164879	2253.230362	145.0268182	77	19.92	27.7	-1507.45106	34.62	6
165120	2253.201618	158.4056522	71	19.69	33.88	-1507.730554	42.35	0
165360	2252.874417	139.8272727	77	19.98	28.81	-1507.585328	36.02	9
165600	2252.06706	114.2842105	73	18.25	36.25	-1507.371934	45.31	0
165840	2252.282838	152.5069565	72	19.9	29	-1509.139715	36.38	6
166080	2251.906869	141.322381	68	19.62	23.31	-1508.599938	29.14	0
166320	2251.266069	144.9542857	71	20	26.73	-1508.102905	33.41	7
166560	2251.013259	134.9595455	64	20	27.98	-1507.580635	34.97	0
166800	2252.168975	149.8681818	71	19.58	31.5	-1508.014158	39.38	13
167040	2252.18059	133.2618182	64	19.6	33.81	-1507.456695	42.27	0
167280	2252.674033	128.0172727	75	20	30.85	-1507.422038	38.57	13
167520	2252.749463	150.7830435	72	19.73	33.42	-1507.204845	41.77	0
167760	2253.460478	151.536087	81	19.58	28.04	-1508.590993	35.13	12
168000	2253.988376	149.6231818	76	19.04	34.96	-1509.674212	43.7	0
168240	2254.172066	143.7642857	87	19.4	32.9	-1509.892726	41.46	14
168480	2254.382479	153.9566667	83	18.31	41.27	-1510.388889	51.59	0
168720	2253.485227	147.9954545	89	19.29	36.65	-1510.040207	45.81	13
168960	2253.088173	166.8572727	83	18.48	38.56	-1509.860748	48.2	0
169200	2251.889192	175.3525	93	18.96	34.02	-1509.114754	42.53	15
169440	2251.573119	161.7008333	91	18.38	40.94	-1508.87409	51.33	0
169680	2251.28143	164.3995238	96	19.15	35.88	-1508.754923	44.84	10
169920	2250.876891	153.6859091	91	18.31	40.35	-1509.408348	50.44	0
170160	2250.977362	166.4852174	100	19.31	37.94	-1508.538183	47.76	16
170400	2250.864718	163.1842857	94	17.73	46.92	-1508.061163	58.8	0
170640	2250.990677	159.2052174	93	19.9	35.71	-1508.056541	44.64	5
170880	2252.111544	157.565	83	19.04	35.6	-1508.082159	44.51	0
171120	2252.038323	157.9231818	89	19.42	31.65	-1507.867066	39.56	11
171360	2252.233114	146.5659091	83	19.33	33.85	-1507.530484	42.32	0
171600	2252.576418	131.4031818	89	19.21	32.46	-1506.792537	40.57	10
171840	2251.681642	150.7342857	78	19.73	39.73	-1505.520678	49.66	0
172080	2251.907039	138.59	80	19.69	32.58	-1505.123849	40.73	8
172320	2253.21418	141.83	76	19.5	31.38	-1504.830021	39.22	0
172560	2253.325829	145.7761905	83	19.79	29.81	-1504.478377	37.27	12
172800	2253.33284	123.9438095	82	19.71	34.27	-1504.56263	42.84	0
173039	2254.829938	134.9068182	77	18.79	34.23	-1505.178919	42.78	5
173280	2255.820944	141.995	74	19.77	31.8	-1505.779056	39.76	0
173520	2255.365164	146.5436364	80	19.1	26.73	-1505.49219	33.41	9
173760	2256.680989	149.3083333	75	20	22.15	-1506.062095	27.68	0
174000	2256.65257	144.4482609	78	20	22.96	-1507.646696	28.91	10
174240	2256.274539	134.7726087	70	19.71	32.85	-1507.813654	41.07	0
174480	2256.896199	160.2577273	74	19.25	32.62	-1507.805556	40.78	11
174720	2258.514869	150.2590909	64	19	34.69	-1508.098834	43.65	0
174960	2257.812464	169.9778261	68	19.67	29.62	-1507.612697	37.03	8
175200	2258.261856	145.4313043	65	19.17	37.21	-1507.399185	46.51	0
175440	2259.167684	116.8278261	66	19.98	26.98	-1508.009881	33.72	5
175680	2258.625181	146.1931818	60	19.65	29.15	-1508.019727	36.64	0
175920	2258.973051	142.9717391	65	19.81	26.81	-1508.651405	33.52	9
176160	2258.543717	153.6045	62	20	25.67	-1508.446728	32.29	0
176400	2258.147399	138.7681818	63	20	22.6	-1508.245665	28.26	7
176640	2258.167822	146.1591304	61	19.77	27.25	-1508.253322	34.06	0
176880	2257.712182	123.0442857	72	19.6	28.06	-1508.034065	35.08	13
177120	2257.752164	154.795	70	19.96	34.81	-1508.124639	43.52	0
177360	2257.654367	148.3442105	76	19.56	27.75	-1508.509945	34.69	9
177600	2258.173625	149.76625	72	19.23	32.35	-1509.923409	40.44	0
177840	2258.053767	136.526	76	19.67	27.79	-1510.532777	34.74	9
178080	2257.872273	154.7004545	70	18.88	36.02	-1511.098163	45.03	0
178320	2258.960734	134.086087	73	20	30.42	-1511.469189	38.02	8
178560	2258.38609	140.7735	68	19.35	28.33	-1511.646251	35.42	0
178800	2259.193429	142.3147368	73	19.15	36.88	-1511.749714	46.09	11
179040	2257.982591	160.2990476	69	19.79	30.65	-1511.054509	38.41	0
179280	2257.666001	139.2382609	80	20	27.62	-1511.06931	34.53	13
179520	2258.274074	135.662381	76	19.69	32.42	-1511.608832	40.62	0
179760	2258.11917	164.7008333	81	19.92	33.98	-1511.382253	42.47	11
180000	2258.128125	149.9471429	77	19.48	31.38	-1511.759659	39.22	0
180240	2258.435992	140.9181818	83	20	33.1	-1511.959977	41.41	9
