Time	CycleTime	Idle	Open	Setup	Work	Lateness	OEE	New
35760	2231.477658	141.7126087	73	20	32.1	-1465.397535	40.13	0
36000	2231.974046	137.5978261	78	19.42	30.83	-1462.812214	38.59	11
36240	2232.287009	142.2391667	71	18.58	35.44	-1460.753776	44.3	0
36480	2234.958021	155.5258333	74	18.65	30.83	-1457.386807	38.54	8
36720	2235.170659	149.6195652	73	19.27	35.44	-1456.565868	44.3	0
36960	2234.083333	142.8790476	77	18	35.17	-1454.202381	43.96	8
37200	2235.023704	139.432	74	19.85	30.44	-1453.885926	38.05	0
37440	2237.581738	132.323913	83	19.75	31.19	-1454.552283	38.98	13
37680	2234.672489	146.4454545	75	19.81	33.42	-1450.9869	41.85	0
37920	2235.2822	146.2708696	77	19.44	34.46	-1449.529667	43.07	6
38160	2236.742816	148.8725	72	20	29.77	-1449.061782	37.21	0
38400	2236.816239	132.1928571	83	19.65	27.98	-1446.837607	34.97	17
38640	2236.403683	148.4543478	79	19.35	39.67	-1446.172805	49.58	0
38880	2233.822785	156.5095652	82	19.65	33.54	-1444.724332	42.01	8
39120	2235.666201	160.8195238	77	19.17	37.77	-1445.97905	47.37	0
39360	2240.521498	154.1404762	80	19.67	31.52	-1451.453537	39.4	8
39600	2239.711724	151.8685	76	19.06	37.23	-1451.126897	46.54	0
39840	2237.709986	162.7305	78	19.77	32.52	-1451.652531	40.65	8
40080	2235.77973	124.964	69	19.92	31.15	-1452.183784	38.93	0
40320	2237.794355	143.702381	70	19.81	29.02	-1456.563172	36.28	5
40560	2242.325333	135.5995455	64	19.15	25.4	-1458.069333	31.74	0
40800	2243.54702	131.4521739	71	19.79	28.46	-1458.007947	35.57	12
41040	2244.03937	184.94375	64	19.38	34.88	-1455.292651	43.59	0
41280	2245.842037	161.8026087	75	19.96	26.9	-1455.828982	33.67	15
41520	2243.079427	150.3273913	73	19.27	37.62	-1454.110677	47.03	0
41760	2242.158915	143.6326087	78	20	31.73	-1455.895349	39.66	11
42000	2241.857143	157.5977273	75	18.56	40.42	-1459	50.52	0
42240	2241.723077	154.2204762	84	19.71	33.69	-1459.684615	42.11	12
42480	2235.879442	163.3309091	76	19.38	38.08	-1456.205584	47.6	0
42720	2234.110971	157.5931818	83	18.19	37.9	-1454.43884	47.37	12
42960	2236.008783	147.2627273	79	18.96	33.35	-1455.762861	41.88	0
43200	2237.657895	132.3672727	87	19.19	38.21	-1457.126566	47.76	9
43440	2235.564516	137.7636842	79	19.19	34.75	-1457.451613	43.44	0
43680	2234.275523	126.3768182	77	19.58	32.48	-1453.349323	40.6	5
43920	2237.341912	120.7318182	74	18.96	32.67	-1456.001225	40.83	0
44160	2239.247561	168.975	88	19.48	26.65	-1460.529268	33.59	18
44400	2237.372881	165.907619	82	19.77	31.71	-1461.232446	39.64	0
