Time	New
153600	0
153840	4
154080	0
154320	10
154560	0
154799	7
155040	0
155280	8
155520	0
155759	14
156000	0
156240	12
156479	0
156719	6
156959	0
157199	17
157439	0
157680	9
157919	0
158160	8
158400	0
158639	3
158880	0
159119	7
159360	0
159599	10
159840	0
160079	9
160320	0
160560	6
160800	0
161039	10
161280	0
161520	7
161760	0
161999	12
162239	0
162480	4
162720	0
162960	12
163200	0
163439	16
163680	0
163919	10
164160	0
164400	11
164639	0
164880	6
165120	0
165360	9
165599	0
165839	6
166079	0
166320	7
166559	0
166800	13
167039	0
167280	13
167520	0
167759	12
168000	0
168239	14
168479	0
168720	13
168959	0
169200	15
169440	0
169679	10
169919	0
170159	16
170399	0
170639	5
170880	0
171120	11
171359	0
171600	10
171840	0
172079	8
172320	0
172559	12
172800	0
173039	5
173280	0
173519	9
173760	0
173999	10
174239	0
174479	11
174719	0
174959	8
175200	0
175439	5
175680	0
175919	9
176160	0
176400	7
176640	0
176879	13
177120	0
177360	9
177600	0
177839	9
178080	0
178319	8
178560	0
178799	11
179040	0
179279	13
179519	0
179759	11
180000	0
180239	9
180480	0
180720	7
180960	0
181200	7
181440	0
181679	17
181919	0
182159	6
182399	0
182640	10
182879	0
183119	6
183360	0
183599	13
183840	0
184080	10
184320	0
184560	10
184800	0
185039	8
185280	0
185519	9
185760	0
186000	11
186240	0
186480	10
186720	0
186960	15
187200	0
187439	9
187680	0
187919	9
188159	0
188399	12
188640	0
188880	6
189119	0
189359	4
189600	0
189839	7
190080	0
190320	7
190560	0
190799	6
191040	0
191280	16
191520	0
191760	8
192000	0
192239	8
192479	0
192720	11
192960	0
193199	14
193439	0
193679	9
193919	0
194159	8
194399	0
194639	8
194880	0
195119	10
195359	0
195599	8
195840	0
196079	15
196319	0
196560	11
196799	0
197040	9
197279	0
197519	10
197760	0
197999	11
198240	0
198480	5
198719	0
198960	7
199199	0
199439	13
199679	0
199920	8
200160	0
200399	9
200640	0
200880	8
201120	0
201359	10
201599	0
