Time	Idle
1680	107.198421052632
1920	130.413636363636
2160	113.126315789474
2400	158.112272727273
2640	121.421904761905
2880	107.010909090909
3120	113.764090909091
3360	146.548181818182
3600	164.078260869565
3840	176.091363636364
4080	133.181818181818
4320	129.811818181818
4560	110.137619047619
4800	155.528181818182
5040	175.043684210526
5280	164.854285714286
5520	160.291428571429
5760	132.205
6000	119.2935
6240	148.360434782609
6480	132.985
6720	137.00619047619
6960	117.003333333333
7200	122.404545454545
7440	113.853684210526
7680	160.408695652174
7920	144.1435
8160	159.942272727273
8400	127.884782608696
8640	115.102272727273
8880	133.849523809524
9120	160.662105263158
9360	151.317272727273
9600	152.123181818182
9840	128.010952380952
10080	151.237619047619
10320	123.513636363636
10560	173.5665
10800	154.721904761905
11040	143.274285714286
11280	147.407916666667
11520	134.543913043478
11760	127.419047619048
12000	190.678260869565
12240	163.441363636364
12480	184.22
12720	150.040869565217
12960	134.075454545455
13200	157.129
13440	180.240526315789
13680	186.041739130435
13920	185.604347826087
14160	154.040476190476
14400	128.371363636364
14640	137.5825
14880	194.85
15119	168.151363636364
15360	154.925833333333
15600	139.353043478261
15840	112.6945
16080	133.111304347826
16320	160.460909090909
16560	164.786363636364
16800	150.83
17040	140.872272727273
17280	136.102380952381
17520	139.403333333333
17760	191.008636363636
18000	183.656363636364
18240	171.43652173913
18480	168.712608695652
18720	147.758260869565
18960	135.180476190476
19200	177.667142857143
19440	205.851904761905
19680	158.67625
19920	137.371739130435
20160	113.26
20400	122.480454545455
20640	162.206
20880	158.721739130435
21120	155.374545454545
21360	141.0095
21600	99.4033333333334
21840	122.285454545455
22080	156.493809523809
22320	160.375833333333
22560	153.285909090909
22800	107.54652173913
23040	111.351363636364
23280	120.53375
23520	153.284782608696
23760	137.64
24000	151.5095
24240	130.241428571429
24480	133.098260869565
24720	119.129
24960	148.01
25200	140.896666666667
25440	159.15
25680	137.124210526316
25920	142.1945
26160	128.842727272727
26400	141.582380952381
26640	165.31347826087
26880	143.827391304348
27120	122.336363636364
27360	128.751739130435
27600	135.016363636364
27840	156.329047619048
28080	157.42
28320	155.541304347826
28560	122.559166666667
28800	125.489090909091
29040	126.686818181818
29280	155.901363636364
29520	145.763333333333
29760	125.526666666667
30000	116.092
30240	131.554761904762
30480	128.7245
30719	147.42
30960	164.960909090909
31200	174.566956521739
31440	145.34
31680	133.661
31920	142.87
32159	151.583043478261
32400	171.640454545455
32640	157.742608695652
32880	132.734090909091
33120	137.04347826087
33360	117.803157894737
33600	177.384545454545
33840	150.842608695652
34080	152.496818181818
34320	173.273636363636
34560	128.343636363636
34800	132.787368421053
35040	180.51652173913
35280	176.844545454545
35520	145.9855
35760	151.132608695652
36000	139.01875
36240	116.181904761905
36480	160.292
36720	149.475909090909
36960	157.949523809524
37200	136.117826086957
37440	134.195909090909
37680	124.129
37920	166.477619047619
38160	165.609545454545
38400	162.196956521739
38640	150.69
38880	141.187391304348
39120	124.702727272727
39359	154.287142857143
39600	170.375
39840	176.536666666667
40080	140.558095238095
40320	151.055714285714
40560	119.565454545455
40800	183.892727272727
41040	171.205
41279	148.62
41520	138.131818181818
41760	113.125217391304
42000	116.097
42240	181.558571428571
42480	168.909545454545
42720	171.92375
42960	143.56380952381
43200	129.06
43440	140.234545454545
43680	185.026818181818
43920	165.608181818182
44160	152.59
44400	151.514782608696
44640	125.800869565217
44880	125.161578947368
45120	169.54
45360	154.722272727273
45600	152.92
45840	144.890434782609
46080	114.774285714286
46320	130.86619047619
46560	153.334782608696
46800	157.074782608696
47040	155.412083333333
47280	130.205652173913
47520	115.164583333333
47760	127.389
48000	159.3825
48240	161.444545454545
48480	184.935454545454
48720	166.435652173913
48960	125.4935
49200	120.630952380952
49440	136.121304347826
49680	145.128095238095
49920	135.544285714286
50160	126.032380952381
50400	100.566666666667
50640	113.326
50880	143.995
51120	136.1235
51360	143.266818181818
51600	137.870833333333
51840	120.958636363636
52080	124.06375
52320	146.251428571429
52560	140.148636363636
52800	142.868636363636
53040	138.694285714286
53280	96.1042105263158
53520	133.543684210526
53760	148.089130434783
54000	158.809523809524
54240	170.755217391304
54480	133.1285
54720	137.042380952381
54960	133.0895
55200	155.9695
55440	149.383043478261
55680	154.465833333333
55920	132.5275
56160	116.12
56400	121.312272727273
56640	171.018571428571
56880	166.578695652174
57120	132.455714285714
57360	131.625909090909
57600	137.853636363636
57839	125.099090909091
58080	164.620454545455
58320	143.7635
58560	147.191363636364
58800	114.816363636364
59040	111.519523809524
59280	124.368181818182
59520	148.265909090909
59760	147.497727272727
60000	130.260952380952
60240	121.215454545455
60480	129.248421052632
60720	118.126666666667
60960	141.2755
61200	155.083181818182
61440	156.188095238095
61680	147.388571428571
61920	140.4455
62160	134.065909090909
62400	170.138181818182
62640	164.463333333333
62880	142.709523809524
63120	147.831363636364
63360	132.208
63600	147.315909090909
63839	159.305909090909
64080	166.833043478261
64320	171.909047619048
64560	158.43
64800	129.16347826087
65040	154.68
65280	158.306363636364
65520	158.731363636364
65760	152.830909090909
66000	139.934285714286
66240	123.233333333333
66480	137.006956521739
66720	150.165454545455
66960	148.906363636364
67200	154.455909090909
67440	133.825416666667
67680	143.315909090909
67920	133.045454545455
68160	161.4965
68400	161.792173913043
68640	156.406
68880	174.622727272727
69120	131.027916666667
69360	141.313913043478
69600	157.637916666667
69840	157.860526315789
70080	158.78
70320	137.658095238095
