100	1496	2143	1925
200	1654	2203	1880
300	1734	1248	2023
400	1659	2371	2038
500	1694	2700	1296
600	1836	2137	2341
700	1591	2717	2297
800	1706	2729	2666
900	2004	3101	2638
1000	1874	2977	2853
1100	1893	2705	2590
1200	2196	3630	2873
1300	1916	3234	3725
1400	2078	3462	2879
1500	2060	2775	2866
1600	2339	3436	2917
1700	2090	3023	3412
1800	2037	3437	3111
1900	2111	3153	3063
2000	2047	3137	3140
2100	1516	2980	3383
2200	1620	3527	2887
2300	1556	2497	3221
2400	1412	2672	3498
2500	1318	3368	3088
2600	1684	3286	2672
2700	1475	2989	3014
2800	1392	3346	3698
2900	1573	3028	2786
3000	1882	2871	3138
3100	1848	2767	3176
3200	2168	2938	3312
3300	2038	3017	2643
3400	2113	2910	3910
3500	2234	3893	3075
3600	2075	3203	2980
3700	2127	3361	3159
3800	1932	3212	3546
3900	2185	2772	4169
4000	1919	3008	3530
4100	2005	3074	2867
4200	2123	3729	3506
4300	1862	3117	3738
4400	2204	2842	3439
4500	2131	3750	3873
4600	2254	3216	3755
4700	2285	3410	3640
4800	2072	3484	3091
4900	1951	2638	3671
5000	1872	3609	4130
5100	1627	3259	4882
5200	1699	3564	4616
5300	1276	3355	3470
5400	1565	2868	4058
5500	1978	3213	3772
5600	1774	1999	4484
5700	2126	2503	5426
