100	125	134	125
200	134	136	134
300	136	131	136
400	131	133	131
500	133	135	133
600	135	136	135
700	136	134	136
800	134	131	134
900	132	135	131
1000	135	129	135
1100	129	128	129
1200	128	131	128
1300	131	134	130
1400	133	141	133
1500	141	143	141
1600	143	141	143
1700	141	145	141
1800	144	145	144
1900	144	153	145
2000	152	148	152
2100	147	148	148
2200	145	150	148
2300	147	147	150
2400	146	147	147
2500	147	146	147
2600	146	145	146
2700	141	141	138
2800	138	133	139
2900	136	132	135
3000	131	130	131
3100	129	135	131
3200	135	135	135
3300	135	135	136
3400	135	139	136
3500	139	132	139
3600	132	130	133
3700	130	138	132
3800	138	137	140
3900	137	134	137
4000	134	127	135
4100	127	126	132
4200	126	123	132
4300	123	124	127
4400	124	122	129
4500	122	120	124
4600	120	118	123
4700	118	122	123
4800	122	124	123
4900	124	131	127
5000	131	129	133
5100	129	134	129
5200	134	137	134
5300	137	141	139
5400	141	142	142
5500	142	145	146
5600	145	146	146
5700	146	148	146
5800	148	148	149
5900	148	155	149
6000	155	152	156
6100	152	156	157
6200	156	147	158
6300	147	149	152
6400	149	150	151
6500	150	147	154
6600	147	143	157
6700	143	139	157
6800	139	143	150
6900	143	139	153
7000	138	147	152
7100	146	147	156
7200	145	140	155
7300	138	141	153
7400	136	140	154
7500	136	134	151
7600	131	133	147
7700	132	138	149
7800	137	139	160
7900	137	144	155
8000	142	145	163
8100	144	144	170
8200	140	150	170
8300	144	141	172
8400	133	147	168
8500	141	140	176
8600	135	139	172
8700	136	138	170
8800	135	133	165
8900	132	142	167
9000	140	141	169
9100	140	145	170
9200	143	152	175
9300	150	145	183
9400	142	137	179
9500	137	134	179
9600	132	126	175
9700	126	130	170
9800	130	128	168
9900	128	125	169
10000	125	130	175
10100	130	123	185
10200	123	132	185
10300	132	128	191
10400	128	133	194
10500	133	135	195
10600	134	134	196
